 1 309 	 1 341 	 1 561 	 1 678 	 1 340 	 1 423
 1 357 	 1 389 	 1 541 	 1 731 	 1 243 	 1 494
 1 406 	 1 358 	 1 494 	 1 746 	 1 323 	 1 524
 1 409 	 1 403 	 1 397 	 1 657 	 1 351 	 1 480
 1 418 	 1 439 	 1 397 	 1 564 	 1 345 	 1 590
 1 379 	 1 481 	 1 441 	 1 592 	 1 340 	 1 656
 1 379 	 1 555 	 1 458 	 1 402 	 1 313 	 1 805
 1 361 	 1 527 	 1 478 	 1 383 	 1 380 	 1 772
 1 339 	 1 527 	 1 636 	 1 395 	 1 320 	 1 729
 1 351 	 1 452 	 1 532 	 1 348 	 1 355 	 1 549
 1 384 	 1 379 	 1 482 	 1 262 	 1 278 	 1 541
 1 523 	 1 351 	 1 380 	 1 239 	 1 294 	 1 435
 1 608 	 1 322 	 1 348 	 1 183 	 1 269 	 1 293
 1 864 	 1 382 	 1 339 	 1 234 	 1 242 	 1 302
 1 627 	 1 222 	 1 300 	 1 201 	 1 224 	 1 229
 1 557 	 1 308 	 1 229 	 1 181 	 1 139 	 1 284
 1 358 	 1 233 	 1 147 	 1 223 	 1 175 	 1 215
 1 237 	 1 256 	 1 226 	 1 210 	 1 172 	 1 275
 1 168 	 1 266 	 1 200 	 1 204 	 1 149 	 1 161
 1 135 	 1 218 	 1 117 	 1 207 	 1 176 	 1 152
 1 171 	 1 271 	 1 223 	 1 186 	 1 227 	 1 129
 1 078 	 1 245 	 1 159 	 1 126 	 1 150 	 1 099
 1 148 	 1 251 	 1 178 	 1 108 	 1 104 	 1 171
 1 116 	 1 171 	 1 119 	 1 120 	 1 113 	 1 169
 1 113 	 1 210 	 1 127 	 1 196 	 1 237 	 1 100
 1 131 	 1 243 	 1 181 	 1 166 	 1 172 	 1 197
 1 110 	 1 258 	 1 152 	 1 158 	 1 092 	 1 295
 1 072 	 1 225 	 1 078 	 1 087 	 1 164 	 1 358
  972 	 1 206 	 1 223 	 1 151 	 1 235 	 1 295
