
2734 Matthias Claudius an Bullinger, [St. Gallen], 1. Januar 1547 . 71
2735 Celio Secondo Curione an Bullinger, Basel, 1. Januar 1547 . 73
2736 Francisco de Enzinas an Bullinger, [Basel], 1. Januar 1547 . 75
2737 Bullinger an Ambrosius Blarer, [Zürich], 2. Januar 1547 . 76
2738 Bullinger an Oswald Myconius, [Zürich], 2. Januar 1547 . 77
2739 Ambrosius Blarer an Bullinger, [Konstanz, 4. Januar 1547] . 79
2740 Bullinger an Oswald Myconius, [Zürich], 5. Januar 1547 . 83
2741 Georg Frölich an Bullinger, [Augsburg], 6. Januar 1547 . . 86
2742 Georg Frölich an Bullinger, [Augsburg], 6. Januar 1547 . . 88
2743 Ambrosius Blarer an Bullinger, [Konstanz], 7. Januar 1547 . 89
2744 Johannes Haller an Bullinger, Augsburg, 7. Januar 1547 . 94
2745 Bullinger im Namen der Zürcher Pfarrer an Martin Bucer und die Schulherren von Straßburg, Zürich, 10. Januar 1547 . . . . . . . . . . . . . . . . . . 101
2746 [Ambrosius Blarer] an Bullinger, [Konstanz], 11. Januar 1547 . . . . . . . . . . . . . . . . . . 104
2747 Jodocus Kilchmeyer, Nikolaus Pfister, Eberhard von Rümlang und Johannes Wäber an Bullinger, Theodor Bibliander, Rudolf Gwalther und Konrad Pellikan, Bern, 11. Januar 1547 . . . . . . . . . . . . . . . . . . 110
2748 Leonhard Serin an Bullinger, Ulm, 11. Januar 1547 . . . 114
2749 Georg Frölich an Bullinger, Augsburg, 12. Januar 1547 . . 116
2750 Johann Leopold Frey an Bullinger, Biel, 13. Januar 1547 . 117
2751 Bullinger an Ambrosius Blarer, [Zürich], 14. Januar 1547 . 118
2752 Bullinger an Johannes Haller, Zürich, 14. Januar 1547 . . 122
2753 Johannes Gast an Bullinger, [Basel, zwischen dem 15. und 19. Januar 1547] . . . . . . . . . . . . . . . . . . 124
2754 [Ambrosius Blarer] an Bullinger, [Konstanz, 16./17. Januar 1547] . . . . . . . . . . . . . . . . 128
2755 Konrad Zwick an Bullinger, [Konstanz], 16. Januar 1547 . 132
2756 Heinrich Buchter, Rudolf Gwalther, Konrad Pellikan, Theodor Bibliander und Bullinger an Jodocus Kilchmeyer, Eberhard von Rümlang, Nikolaus Pfister und Johannes Wäber, Zürich, 17. Januar 1547 . . . . . . . . . . . 134
2757 Bullinger an Oswald Myconius oder an Johannes Gast, [Zürich], 18. und 19. Januar 1547 . . . . . . . . . . . 138
2758 Celio Secondo Curione an Bullinger, Basel, 18. Januar 1547 . 145

2759 Johannes Haller an Bullinger, Augsburg, 19. Januar 1547 . 147
2760 [Peter Medmann] an Bullinger, [Buschhoven], 20. Januar 1547 . . . . . . . . . . . . . . . . . . 153
2761 Oswald Myconius an Bullinger, Basel, 20. Januar 1547 . . 156
